FID IID Age
Ind17 Ind17 69
Ind22 Ind22 45
Ind74 Ind74 71
Ind42 Ind42 68
Ind4 Ind4 38
Ind184 Ind184 44
Ind34 Ind34 50
Ind161 Ind161 66
Ind125 Ind125 63
Ind62 Ind62 52
Ind64 Ind64 67
Ind79 Ind79 46
Ind112 Ind112 42
Ind19 Ind19 46
Ind46 Ind46 48
Ind137 Ind137 44
Ind191 Ind191 57
Ind157 Ind157 57
Ind86 Ind86 68
Ind76 Ind76 37
Ind190 Ind190 44
Ind32 Ind32 68
Ind5 Ind5 70
Ind127 Ind127 43
Ind122 Ind122 54
Ind1 Ind1 77
Ind113 Ind113 53
Ind3 Ind3 49
Ind71 Ind71 74
Ind175 Ind175 52
Ind109 Ind109 71
Ind35 Ind35 38
Ind145 Ind145 46
Ind31 Ind31 66
Ind178 Ind178 52
Ind89 Ind89 70
Ind53 Ind53 39
Ind185 Ind185 63
Ind183 Ind183 74
Ind163 Ind163 46
Ind2 Ind2 56
Ind88 Ind88 69
Ind129 Ind129 73
Ind115 Ind115 44
Ind126 Ind126 66
Ind67 Ind67 57
Ind176 Ind176 48
Ind20 Ind20 64
Ind28 Ind28 73
Ind55 Ind55 78
Ind111 Ind111 46
Ind104 Ind104 45
Ind162 Ind162 51
Ind91 Ind91 48
Ind165 Ind165 37
Ind118 Ind118 55
Ind108 Ind108 62
Ind24 Ind24 45
Ind96 Ind96 60
Ind65 Ind65 58
Ind26 Ind26 43
Ind174 Ind174 68
Ind8 Ind8 78
Ind167 Ind167 57
Ind119 Ind119 46
Ind177 Ind177 55
Ind135 Ind135 68
Ind80 Ind80 46
Ind152 Ind152 68
Ind40 Ind40 48
Ind158 Ind158 78
Ind81 Ind81 40
Ind149 Ind149 67
Ind116 Ind116 62
Ind25 Ind25 64
Ind134 Ind134 40
Ind123 Ind123 50
Ind120 Ind120 70
Ind93 Ind93 73
Ind73 Ind73 50
Ind102 Ind102 46
Ind164 Ind164 70
Ind30 Ind30 66
Ind29 Ind29 70
Ind170 Ind170 56
Ind97 Ind97 42
Ind49 Ind49 72
Ind84 Ind84 48
Ind187 Ind187 74
Ind27 Ind27 51
Ind12 Ind12 69
Ind7 Ind7 34
Ind100 Ind100 57
Ind110 Ind110 68
Ind58 Ind58 62
Ind9 Ind9 60
Ind70 Ind70 35
Ind128 Ind128 54
Ind41 Ind41 59
Ind121 Ind121 67
Ind18 Ind18 61
Ind182 Ind182 39
Ind94 Ind94 44
Ind146 Ind146 50
Ind144 Ind144 56
Ind124 Ind124 23
Ind101 Ind101 41
Ind14 Ind14 76
Ind147 Ind147 45
Ind52 Ind52 61
Ind37 Ind37 52
Ind132 Ind132 43
Ind192 Ind192 55
Ind169 Ind169 69
Ind131 Ind131 40
Ind136 Ind136 67
Ind179 Ind179 73
Ind117 Ind117 49
Ind57 Ind57 75
Ind51 Ind51 43
Ind139 Ind139 48
Ind105 Ind105 54
Ind23 Ind23 74
Ind99 Ind99 47
Ind56 Ind56 67
Ind142 Ind142 59
Ind85 Ind85 70
Ind54 Ind54 52
Ind60 Ind60 54
Ind82 Ind82 57
Ind66 Ind66 61
Ind6 Ind6 42
Ind168 Ind168 66
Ind45 Ind45 47
Ind138 Ind138 41
Ind189 Ind189 38
Ind11 Ind11 64
Ind63 Ind63 57
Ind171 Ind171 67
Ind38 Ind38 66
Ind48 Ind48 47
Ind150 Ind150 58
Ind77 Ind77 58
Ind68 Ind68 51
Ind160 Ind160 64
Ind75 Ind75 42
Ind106 Ind106 63
Ind90 Ind90 32
Ind15 Ind15 40
Ind188 Ind188 37
Ind133 Ind133 57
Ind172 Ind172 38
Ind156 Ind156 69
Ind33 Ind33 53
Ind154 Ind154 63
Ind95 Ind95 69
Ind21 Ind21 42
Ind107 Ind107 52
Ind166 Ind166 39
Ind186 Ind186 67
Ind61 Ind61 76
Ind103 Ind103 66
Ind44 Ind44 52
